sentiment	productId	userId	summary	text	helpfulY	helpfulN
		A1DJ9FOEOA0WF1	For more than salting foods.	Yes, I do use this product for salting some of my foods, but it also has another handy use. Because the grains of salt are much larger than normal, I use this salt to clean my cast iron grill and skillet. I pour one or two tablespoons of salt on the slightly warm grill or skillet, and rub the salt into the bottom and sides of the pans with a wadded up paper towel. The salt even quickly makes short work of cleaning the RIDGED bottom of my cast iron grill pan. Works perfectly. I usually keep two or three packages of this product on my spices shelf because I use it frequently both for salting food and cleaning the cast iron.	16	2
		A21NBMOERHFKNH	Decent Aged Balsamic	Spend a few more bucks and get a higher quality aged balsamic. It was way too thin and had a bitter bite for an aged balsamic of this quality. Spend the extra bucks and get yourself a bottle of Rubio.	0	0
		AEMZRE6QYVQBS	three empty dishes can't be wrong	My two Rhodesian Ridgebacks and one Labrador Retriever are no pushovers.<br /><br />Even other varieties of highly regarded Canidae food have left them looking up at me over lightly rearranged bowls of food with that 'Why have you turned against us again?' look.<br /><br />But whenever I bring home the thirty-pound bags of Canidae Chicken Meal and Rice, the dogsters nose hungrily around the car before I can even get the stuff out of the trunk. I've long since settled on Canidae (for its reputation as nutritious and high-quality) and on the Chicken Meal and Rice (for the predictability factor with my threesome).<br /><br />Things just got better, however, when I realized that my Amazon Prime membership allows me to order a thirty-bound bag for second-day delivery at no cost (in fact, it usually arrives the next day) at a price lower than what I was paying locally.<br /><br />This has allowed me to move to a just-in-time delivery service, which cuts down on the storage needs and may be attractive for other owners of multiple and/or large dogs.	0	0
		A3MF4EWOORZLN0	Loves real food!	My chidlren( I do too) loves these and they have no white sugar or artificial ingredients! They taste good and they are fun for trail mixes, decorating or just to eat!	0	0
		A24PH6RGFDHXHU	Greenies never has clear description	"hello,<br /><br />i don't care if it's manufacturer's or Amazon's description, but it's weak. 1, you can't blow up product picture. 2. description is inconsistent. sometimes it states quantity in box, but most of the time, it does not, as with this size ""petite"". by the way, can someone tell the manufacturer it's bad french, there's no ""e"" at the end?!<br /><br />thanks"	1	23
		A68CSKRK4XJBX	Great raw food alternative	These patties are great for traveling and emergencies. My dogs are fed a homemade raw diet but I keep a bag or two of these on hand just in case. They also make a great occasional treat since the dogs love them.	0	0
		A3VSO43VH3H0AT	Tasty	These chip/crackers were very tasty... however people who have allergies or problems digesting corn - like me - need to beware. If you just read the front of the packet it seems as if they are made without wheat or corn. Not true, the main ingredient is corn.	0	0
		A39UOHD8VNRYHB	These Cookies are the BOMB	I tried these cookies a few days ago and they were so delicious. I always bake with Almond flour and it was a real treat to find cookies made with Almond Flour and so darn good! You must try these...you won't be disappointed if you are a Almond Flour lover like I am! :)	0	0
		A2PDDZ7EFLJHAD	Great Mommy Afternoon Pick me Up!	I received a free sample of 5-Hour ENERGY® from Smiley360. I have never tried this product before but had seen commercials of the product on tv.  I am a busy mother of 4 daughters (ages 6, 5, 3, and 2).  I have a very full schedule and as most moms know the afternoon hours are just when I start dragging.  Maybe a nap is what I need, but no time (literally!).  So I tried a small bit of 5 hour (half a bottle) just to see how it would go when I hit that afternoon drag-- and yep it was just what I needed to complete my day.  My mood is good, my energy is still on the go, and I am not dragging just struggling to make it through dinner and bathtime and the wonderful thing is no headaches.  This is a huge help to me and I am so thankful to 5 hour for this aid to my day- and yes it has made it on my grocery list!  I hope others find it as helpful as I have!	0	0
		A1ETUWCY1JHJ42	French Vanilla Mousse	This is a good easy sugar free dessert.  Served alone or over a few fresh berries it is very good.  I will buy this item again.	1	0
		A18P55KFS6AZFC	LOVE this gum	I LOVE this gum.  I prefer sugar-free gum and am not able to eat aspartame.  That leaves me with few choices.  I tried this gum several months back.  Now I have to order it by the largest container available because I chew it all the time.  The flavor is great.  No weird aftertaste from the xylitol.  The flavor lasts a long time as does the texture which is often a serious problem for sugar-free gum.  They make smaller packages if you are just trying for the first time, but you will wish you had bought the larger size as you will be addicted like I am.	0	0
		A1AVLKAXW55QQA	Spicy but good	If you like spicy, then these are for you.  I like spicy, so I enjoyed these.  They're also crunchy, as kettle-cooked chips should be.	0	1
