sentiment	productId	userId	summary	text	helpfulY	helpfulN
1	B000QTAH1M	A2HG80UPS2APUM	Great to find this hard to find spice	This spice used in Caribbean cooking is not easy to find in Texas. It was nice to find it on Amazon.	1	0
1	B001EO5UTM	A1AW7OTQ9QX3IG	olive oil	This is great for cooking and gift giving.  I like that it's in cans, takes less space, and is organic.  Not the best I've had, but for daily use and cooking it's great.<br />I have it on subscribe and save every 4-6 months or so.  I live alone, so they last a long time.  I use olive oil, coconut oil, almond oil, for everything . . . I don't use butter or other oils anymore.<br /><br />Great product, well packaged for shipping, since Amazon likes to just toss things in a box without protecting anything.  This company thinks ahead, and the cans are very well protected for shipping.<br /><br />They are much smaller than they seem on the computer,  because of the shape, I guess.  Still a great value, even though they raise the price every order by about $2.00, so I probably will be shopping for another brand by next order..	1	0
-1	B0002I0GXG	A1QP2GHTI063EF	High Price	This is a good Dog food, But I found 4Health at Tractor Supply. It is equal to or better quality comparing the analysis. And the price is much better, half as much. My Lab loves it, firm stools, and has been eating it for 9 months. She has a beautiful chocolate coat. She really didn't like the wellness product that much, and she had runny stools while eating it.	3	1
1	B002SUT74K	A1OGJ3XOJFD2K2	Best chai ever	Very very gingery, which suits me just fine.  Also very strong chai.  Sometimes instead of equal parts chai and milk, I use about a 1.5-to-1 ratio of milk to chai.  The most satisfying chai I've ever had and more spicy than sweet.  Also sold at Whole Foods for about $1 less per quart, but the free shipping and convenience of delivery plus guarantee of availability from Amazon on this item vs. the gallons of gas my car would require to get to WF give Amazon the edge.  This is a superior product for ginger lovers only.	4	0
1	B0019446LK	AIAQQAAE5G2VR	Invigorating!!!	"Wow, at first I was thinking ""caffeine free""?  Eh.  But, sniff the satchel packet and you'll be instantly invigorated with the sinus clearing powerful mint!  It's really minty, what you'd expect it to taste like.  Doesn't need sugar, it's sweet enough by itself.  I don't really taste the lemon in it."	0	0
1	B001BDI0RK	A2GYSKRZ8VJVR3	Great for difficult cat	We have a difficult Indoor Cat, with a sensitive stomach and this has been the only food he can eat and not throw up constantly.  I would not say it gets rid of hair balls but I think it has really cut down on the number of hairballs we have to live through.  Weight wise, I dont see his indoor life causeing weight gain so it must be helping there as well.  I wish the price was not so high, but on subscribe and save, I save money, and never run out.....	0	0
-1	B001YJ9IM2	A23HRTD9I9K90Z	Cinnamon is as cinnamon does	Another clown bakery that mixes cocoa powder with cinnamon thinking to reach more ill-informed customers that way. Cinnamon all by itself is the way these things are traditionally made. Don't fix it if it ain't broken!	0	0
1	B000HDK0DC	A2MWDJVGV0KATO	TASTE AWESOME!!!	I LOVE these lollipops, and have never tried a flavor I didn't like.  I definitely appreciate the lack of high fructose corn syrup and artificial colors when I'm looking for an occasional treat to satisfy my sweet tooth!<br />There is a nice mix of flavors, but for those who are picky, they are not evenly distributed.  Of the 330 lollipops I received in my 5-lb. bag,<br />64 (19%) Tart Sour Apple<br />58 (18%) Googly Grape<br />39 (12%) Mango Tango<br />32 (10%) Strawberry Smash<br />28 (8%) Ginger Zest<br />25 (8%) Wet-face Watermelon<br />24 (7%) Pomegranate Pucker<br />22 (7%) Cheeky Lemon<br />17 (5%) Orange Squeeze<br />11 (3%) Blood Orange Cocktail<br />8 (2%) Very Very Cherry<br />2 (&lt;1%) Tooberry Blueberry	223	5
-1	B00485BHSW	AWPN47SSWK1JV	Poor Quality	Material is very thin and the shirt had several spots where the color was faded.<br />The only thing that it had going for it was the fact that it was cheap, but I guess sometimes you get what you pay for.	2	0
1	B005CMAENO	AAE80E4EVOW2S	A lot of paste	This almond paste is a great product, it just that there is a lot of it.  I wish they would produce a 1 or 2 pound can.  One good thing is we can make a lot of almond cookies with it.<br /><br />The paste works well in recipes and turns out without being gritty which was a problem trying to make our own past.  Good flavor and no noticeable difference in finished product from home made.  this will work with just about any recipe that calls for almonds in a paste or even in some cases a powder form.	1	0
1	B001TM70V0	A2U7HH4BJ6K5Y2	Weruva Mideast Feast-Great buy & Product	All of my cats love this grain-free cat food! It not only a great product, but the value through Amazon can't be beat. Even if I buy it locally, I still pay more per can and that doesn't include the gas to get there and back. Love having it delivered to my door and with the super saver shipping the price and convenience is a super saver deal!!	0	0
1	B002XWFK3U	A148PH0MI6JFFG	Just as good as ever.	These nuts are just as good as ever. I just wish I could find them locally. Now I have enough to last me for quite awhile!	2	0
1	B001NXOCRA	A1R504UI0QTAPU	Long time Fit user says thumbs up	About ten years ago P&G developed Fit to clean fruits and vegtables. It was sold in many stores and that was my first source.<br /><br />Sine P&G is noted for their R&D, I have to believe that the product is effective and safe. Our family uses Fit to clean all of our produce. It does get the dirt off and yes you can see the junk in the bottom of the bowl.<br /><br />About six years ago I started to buy Fit directly from the company that acquired the brand, and more recently through Amazon. I am convinced that it works and leaves no noticeable taste or residue.	0	0
1	B0058M8RZA	A215W0A8MQS1V9	Coffee MarTEAni is INSTANTLY ADDICTIVE!!	I first tasted these at our local Whole Foods, was hooked from my first taste, and then came hunting for a better price on Amazon (and found it).  I get them on subscriber shipments now--the coffee/chai combination is out of this world!	0	0
-1	B001O3DQ2Q	A3GSXX2CMCW320	Mentos Sugar Free Gum - Tropical Flavor	Mentos Sugar Free Gum - Tropical Flavor: Good taste, convenient packaging with no need to unwrap each piece of gum, expensive. Most importantly, the flavor doesn't last as long as the others.	0	0
-1	B001EQ55ZO	A1KXJCXS6HFRQZ	Good.  A little overpowering.	I think these would have been better without the pepper -- or maybe just a little less pepper.  It creates a very overpowering taste.  I can only eat 2 or 3 at a time.<br /><br />The cashews themselves are soft and delicious.  The packaging is nice -- resealable and recyclable.<br /><br />So if you like salty nuts, you may like this.  I prefer my nuts lightly salted and with just a little pepper.	0	1
1	B00198JXW8	A1REIDRM78Y3UO	ToxiClenz	I first received this product from my chiropractor about 7 years ago and have been using it sinse.  When my digestive system isn't doing well I always reach for my ToxiClenz and I start to feel better in about two days. A wonderful product!!!	2	0
-1	B004Q4C694	A1MEK5TKHI0CEO	Old Over Dried Yuck	I drink a lot of kuchika and this is the worst I've tasted so far. Out of the bag it looks old and overly dry.  Maybe it is old or maybe it was over dried. No fresh green notes here. Yuck.	0	0
1	B007PA33KM	A3A02ZHIEXYCUB	Love This Coffee!	This is my favorite coffee. Perfect level of strength. Excellent flavor. It's bold and robust without being too intense. It tastes like morning.	0	0
1	B001JYU0BK	AJTR3W7GOYV0I	THE BEST!	I have a dog who until we adopted her never had oral care,so her teeth were in bad shape. We brush her teeth every 3 weeks and give her 1 booda bone weekly . Not only are her teeth cleaner but some of the staining has gone away. Our vet told us that these are the best thing for her because they digest easily and do not contain plastics.	0	0
1	B0009F3SA0	A2FEC016SACDJ9	Knocked me out	I picked up Yogi Bedtime Tea because a) I'm a tea lover and b) I was searching for teas that might make me sleepy. So far, Yogi's Bedtime is the only one that does the job. One mug makes me pretty drowsy and ready to go to sleep. Two mugs make me very loopy and three mugs just put me under. I sleep through the night and wake up feeling slightly groggy; however, the feeling passes quickly and I'm ready to start my morning. If you're having a hard time getting to sleep, or if you know you need to sleep but just aren't ready to settle down yet, this can help.<br /><br />I notice the information for this tea advises you to drink it during the day to calm and relax yourself. I can't imagine doing that. I would pass right out. (Definitely don't drink this before driving anywhere!)<br /><br />The tea is sweetened with Stevia which does leave a taste in the back of your mouth. It is not altogether unpleasant but might irritate some.<br /><br />Also, as another reviewer mentioned, some of the ingredients in this tea can interact with certain medications such as hormonal birth control, so be advised and ask your doctor first.	8	0
1	B005K4Q4LK	ALDAF4VVLFRHP	Wonderful taste, warms and wakes me up on those cold winter mornings	I got this since I enjoy cappuccino. I like the fact that I can make these at home, and one cup at a time so that I can make them when I am actually ready for it and it is not sitting around getting cold or old. It has just the right amount of Hazelnut. Living in UpState New York, our mornings can be cold and hard to get up in the morning. This is great to help in the morning.	0	0
1	B004M8KYCK	A3R40O403XN8UZ	THE BEST	Absolutely the best. Hands down I love this over any other coffee I have tried. Yes, it really does the layers if you have a glass cup. Only downside is I went through them so fast cause they are delicious.	2	0
1	B00474G7KW	AKQHIWNAQSZPP	Berry-licious!	What can I say, I love this granola!  The berries really make my yogurt pop!  Great taste and not cardboard-like as so many gluten-free products are.	0	0
1	B006W6YHHI	A1TY4AX8AVRAYQ	greenies	This is great!!! first time my dog had greenies is when I bought a single. He is a picky eater and we were desprate to do something about his breath. He loved it and helped his breath. We buy big boxes of them now.	0	0
1	B000EHL21U	A20TTFFACVBYRA	Super satisfying!	With 190 calories, 12 grams of fiber and 6 of protein, this little bar packs a lot of nutrition in one small package. It will keep you from being hungry for hours. I love the combination of chewy and crunchy.	0	1
1	B001EO5TJ8	A2SF1TJBQZR3JW	Excellent English Breakfast Tea	I have been searching for the 'right' balanced English Breakfast Tea for a few years now. Other than actual English Teas from London, England, it was very difficult to find a rich and aromatic English Breakfast.<br /><br />After trying out at least 20 different varieties, including some very expensive brands, I've found this to be the perfect cuppa in the morning. Personally, loose leaf seems to taste a lot better to me, and I've not tried the tea-bag variety on this one.<br /><br />Hope others enjoy this tea as much as I have.	0	0
1	B00192CNG2	A2WOOD2QYLRQXP	Systemic insecticide, fertilizer	This systemic insecticide and fertilizer has kept our indoor bouganvilleas free of mealybugs, which have heretofore been an annual midwinter problem problem.	5	0
1	B006KK4GUO	A1IZWEMEJ3LSHA	Very similar to Biscoff Spread	I can tell you exactly what this tastes like, and pretty much what it is...creamed butter (or rather a healthier variety of margarine), brown sugar, nutmeg and cinnamon solidified to a peanut butter consistency.<br />I purchased some Biscoff Spread at Publix in Florida last month (the crunchy variety), the Publix in Georgia doesn't carry it so I thought I'd try TJ's Cookie Butter and they are so very similar.  The taste of both is that of the airline cookies made by Biscoff, Lotus.  It is good, but not a health food.  There are no trans fats in any of Trader Joe's products.  They would be a fun spread for parties or a gift basket.	1	0
1	B007JFMH8M	A2PFH1741A25BG	Sooo yummy!	I got a free bar in my voxbox from influenster and wow!! Soo yummy!! It melts in your mouth and even my 2 year old loved it!	0	0
1	B004HOLD60	A2H84V55USFJQX	taste awesome!	these taste amazing. might make the poops burn a little :o but they taste amazing. the salt and vinegar ones are the best and very addicting.	0	0
-1	B001ULOTKU	A30EKUSBMZHGD	DO NOT BUY - Made in China	I purchased this for a snack for my toddler. I was shocked to discover the fruit is from China. Do your research, don't buy this!	2	2
1	B000F4F93Y	AUDJLTJ5GPJ9L	My favourite tea	My favourite tea in a packeet of six really big tins, we won't run out for months.	0	0
1	B000FVBYCW	A3V9M50SZJ2A2D	Served its purpose	I do not really like tea but I needed to drink it for medical reasons.  Shipping was really fast and the price was good.  I am sure those who like Sage Tea would love it.	1	1
1	B0090X8IPM	A2O9HU1K7TCF7B	The Scent of Vanilla	Having already tried the caramel fusion and enjoying it, I decided to give vanilla a try.  I am not normally a fan of vanilla coffee as the smells is often more potent than the taste.  You can always tell when somebody has been in the room with vanilla coffee because the artificial scent lingers.  Whereas other vanilla coffees have the vanilla ending in the scent, this coffee has a nice mild taste that does actually hint of vanilla.  It is not a vanilla taste that overpowers the taste of the coffee like a sugary creamer, it is authentic and subtle.  The coffee even has a smooth mouthfeel that brings hints of creme soda.  Overall, this is a worthy addition to the Starbucks family.	1	0
1	B003M63C0E	A2U06B6B5OK5ZZ	Good product..But dogs hate it!	My dogs hate it... I dont know if its just the flavor because my dogs dont even eat tuna fish. I am going to try the chicken next...	0	0
-1	B000LQMY02	A5X4ZSW5HF1LW	Unprofessional product	Item different from website description.  Claims it colors 30 eggs...package received says it colors 6 eggs.  This packaging was not as shown. The product arrived in a make-shift envelope...even the label was crooked. I paid $5.02 for shipping and the product arrived in an envelope with one postage stamp.	0	0
1	B000RI3SKY	A2LGQ6XZKLRA32	Your pet will love you!	My cat hates his meds. It was a knock-down fight each morning. Then a friend recomended Pill Pockets. Now I have to fight him long enough to get the pill in the pocket and give it to him. And he is purring all the time. We are both very pleased with this product. If you have a pill shy pet, dog or cat this is the way to go.	0	0
1	B000NHZK96	A1HDXNV61FUSCI	nice and easy to use	The wooden mat is durable and the seaweed us good quality. I haven't had trouble with it at all for the month that i've had it and it makes excellent sushi!	0	0
1	B0000D9NDG	A38KO6XKJF3IZL	The very best...	If you want your salads to be incomparable, or your strawberries to be divine, try this balsamic. I can't live without it!!!	0	0
1	B000FZRYPO	A265M6WN5N46DW	Great taste for a low carb option!	Even though a few of the bags were ripped and the noodles spilled into the box, these were a great find. It is very hard to find decent tasting pasta / noodles for a low carb lifestyle and these are delicious! Taste like egg noodles to me!	0	0
